Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,511,2000,510,1000
40,937,2000,938,1000
60,1365,2000,1365,1000
80,1792,2000,1791,1000
100,2219,2000,2218,0
120,2650,2332,2572,1
140,3069,2573,2783,0
160,3489,2750,2942,0
180,3923,2886,3065,0
200,4356,3000,3163,0
220,4784,3272,3432,0
240,5191,3503,3648,0
260,5628,3693,3830,0
280,6048,3857,3994,0
300,6493,4002,4132,0
320,6908,4251,4376,0
340,7328,4467,4598,0
360,7750,4669,4786,0
380,8193,4848,4955,0
400,8621,5001,5119,0
420,9033,5239,5351,0
440,9487,5449,5564,0
460,9902,5650,5756,0
480,10319,5828,5937,0
500,10790,5991,6110,0
