Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,511,2000,511,1000
40,935,2000,937,1000
60,1364,2000,1363,1000
80,1793,2000,1637,999
100,2216,2000,1722,1
120,2645,2332,2112,0
140,3067,2571,2389,0
160,3499,2749,2599,0
180,3917,2887,2764,0
200,4354,3002,2893,0
220,4779,3276,3182,0
240,5196,3502,3423,0
260,5631,3692,3625,0
280,6058,3859,3798,0
300,6488,3995,3953,0
320,6923,4253,4208,0
340,7327,4470,4433,0
360,7746,4668,4642,0
380,8173,4842,4816,0
400,8615,5003,4978,0
420,9028,5237,5219,0
440,9494,5454,5437,0
460,9895,5647,5644,0
480,10324,5837,5824,0
500,10738,6004,6000,0
