Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,304,2000,303,1000
40,554,2000,553,1000
60,802,2000,804,1000
80,1054,2000,1053,1000
100,1305,2000,1252,1000
120,1554,2333,1715,1000
140,1800,2572,2048,1000
160,2052,2749,2300,1000
180,2305,2887,2492,1000
200,2549,3002,2645,1000
220,2803,3275,2953,1000
240,3054,3504,3210,1000
260,3305,3694,3430,1000
280,3555,3855,3614,993
300,3801,4003,3772,927
320,4060,4253,4046,897
340,4306,4469,4274,855
360,4562,4666,4484,724
380,4800,4845,4671,591
400,5057,4996,4839,381
420,5304,5231,5086,362
440,5558,5455,5314,298
460,5802,5656,5516,257
480,6059,5833,5708,160
500,6308,6003,5874,96
