Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,675,2000,675,1000
40,1305,2000,1303,1000
60,1934,2000,1930,841
80,2564,2000,2218,0
100,3182,2000,2177,0
120,3809,2333,2482,0
140,4445,2570,2703,0
160,5074,2749,2869,0
180,5706,2888,2995,0
200,6325,3000,3097,0
220,6959,3273,3361,0
240,7584,3499,3583,0
260,8236,3689,3769,0
280,8843,3858,3929,0
300,9495,3997,4067,0
320,10101,4252,4313,0
340,10734,4470,4528,0
360,11365,4662,4725,0
380,12006,4843,4900,0
400,12609,4998,5058,0
420,13253,5236,5297,0
440,13869,5454,5509,0
460,14510,5652,5707,0
480,15141,5830,5883,0
500,15762,5998,6053,0
