Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,383,2000,383,1000
40,726,2000,725,1000
60,1069,2000,1069,1000
80,1413,2000,1408,1000
100,1757,2000,1755,1000
120,2098,2331,2100,999
140,2435,2570,2375,925
160,2785,2748,2583,347
180,3129,2889,2746,15
200,3472,3000,2871,0
220,3816,3273,3161,0
240,4153,3498,3395,0
260,4496,3695,3601,0
280,4837,3856,3772,0
300,5183,3999,3927,0
320,5525,4251,4179,0
340,5868,4470,4401,0
360,6214,4669,4607,0
380,6561,4847,4782,0
400,6900,5000,4944,0
420,7235,5238,5193,0
440,7578,5453,5412,0
460,7933,5646,5605,0
480,8282,5828,5796,0
500,8608,5998,5964,0
