Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,676,2000,675,1000
40,1305,2000,1302,1000
60,1933,2000,1540,841
80,2562,2000,1659,0
100,3186,2000,1730,0
120,3816,2332,2109,0
140,4444,2572,2385,0
160,5081,2748,2589,0
180,5703,2887,2746,0
200,6325,2997,2869,0
220,6968,3274,3164,0
240,7599,3500,3395,0
260,8237,3693,3602,0
280,8850,3853,3771,0
300,9489,4002,3920,0
320,10105,4245,4175,0
340,10746,4472,4401,0
360,11354,4670,4606,0
380,11976,4843,4782,0
400,12621,5000,4948,0
420,13241,5238,5185,0
440,13862,5453,5413,0
460,14515,5650,5606,0
480,15128,5831,5798,0
500,15749,6002,5957,0
