Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,594,2000,594,1000
40,1119,2000,1119,1000
60,1644,2000,1643,1000
80,2168,2000,2171,5
100,2700,2000,2143,0
120,3222,2333,2461,0
140,3754,2572,2687,0
160,4277,2751,2855,0
180,4798,2887,2988,0
200,5321,3001,3095,0
220,5848,3272,3360,0
240,6369,3501,3585,0
260,6903,3690,3772,0
280,7431,3859,3938,0
300,7957,3997,4080,0
320,8483,4246,4320,0
340,9025,4473,4534,0
360,9536,4669,4741,0
380,10044,4833,4910,0
400,10576,5000,5067,0
420,11117,5237,5303,0
440,11642,5455,5522,0
460,12180,5653,5718,0
480,12688,5828,5900,0
500,13227,5999,6060,0
