Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,383,2000,382,1000
40,727,2000,726,1000
60,1069,2000,1067,1000
80,1412,2000,1412,1000
100,1751,2000,1627,1000
120,2100,2334,2027,1000
140,2442,2571,2315,917
160,2789,2751,2525,361
180,3124,2889,2696,8
200,3463,2999,2825,1
220,3806,3273,3118,0
240,4162,3498,3359,0
260,4499,3693,3562,0
280,4840,3858,3739,0
300,5183,3997,3888,0
320,5526,4247,4153,0
340,5862,4472,4384,0
360,6221,4671,4580,0
380,6545,4842,4764,0
400,6896,5000,4929,0
420,7244,5236,5170,0
440,7588,5457,5386,0
460,7918,5652,5586,0
480,8259,5833,5782,0
500,8602,6000,5938,0
