Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,592,2000,592,1000
40,1119,2000,1119,1000
60,1644,2000,1644,1000
80,2175,2000,1742,4
100,2700,2000,1801,0
120,3222,2334,2178,0
140,3746,2570,2443,0
160,4269,2750,2644,0
180,4793,2888,2796,0
200,5320,3001,2922,0
220,5852,3269,3205,0
240,6379,3499,3445,0
260,6902,3691,3641,0
280,7441,3858,3816,0
300,7955,3997,3965,0
320,8487,4249,4222,0
340,9012,4472,4443,0
360,9539,4661,4643,0
380,10062,4844,4820,0
400,10587,4996,4983,0
420,11104,5235,5224,0
440,11641,5452,5443,0
460,12146,5652,5642,0
480,12696,5835,5825,0
500,13219,6008,5992,0
