Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,383,2000,383,1000
40,726,2000,727,1000
60,1070,2000,1068,1000
80,1412,2000,1412,1000
100,1749,2000,1532,1000
120,2096,2332,1950,999
140,2442,2572,2246,929
160,2785,2749,2466,356
180,3125,2888,2639,12
200,3470,2998,2780,0
220,3808,3270,3077,0
240,4154,3496,3318,0
260,4503,3693,3525,0
280,4835,3856,3702,0
300,5177,3999,3858,0
320,5526,4250,4118,0
340,5855,4464,4349,0
360,6206,4668,4555,0
380,6558,4843,4741,0
400,6904,5001,4900,0
420,7236,5242,5143,0
440,7580,5448,5365,0
460,7933,5650,5573,0
480,8263,5828,5756,0
500,8626,5997,5922,0
