Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,511,2000,511,1000
40,938,2000,940,1000
60,1366,2000,1302,1000
80,1792,2000,1493,1000
100,2215,2000,1607,2
120,2648,2332,2017,1
140,3066,2570,2307,0
160,3502,2750,2527,0
180,3930,2886,2697,0
200,4352,2999,2833,0
220,4778,3274,3131,0
240,5201,3500,3374,0
260,5623,3692,3580,0
280,6068,3856,3760,0
300,6488,4001,3911,0
320,6911,4251,4173,0
340,7338,4469,4402,0
360,7775,4668,4600,0
380,8186,4844,4782,0
400,8613,5001,4949,0
420,9042,5236,5190,0
440,9459,5455,5414,0
460,9895,5655,5617,0
480,10341,5835,5800,0
500,10746,5994,5970,0
