Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,303,2000,304,1000
40,554,2000,554,1000
60,804,2000,804,1000
80,1053,2000,1111,1000
100,1305,2000,1299,1000
120,1554,2331,1755,1000
140,1802,2571,2086,1000
160,2051,2753,2328,1000
180,2306,2886,2517,1000
200,2556,2998,2669,1000
220,2807,3277,2977,1000
240,3053,3499,3237,1000
260,3303,3688,3446,1000
280,3551,3857,3631,987
300,3804,3997,3794,901
320,4051,4252,4057,913
340,4302,4466,4294,853
360,4554,4666,4496,744
380,4800,4843,4681,604
400,5053,4996,4853,376
420,5314,5239,5098,358
440,5556,5455,5320,317
460,5806,5652,5528,233
480,6047,5833,5711,178
500,6299,5997,5886,104
