Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,511,2000,512,1000
40,937,2000,938,1000
60,1363,2000,1366,1000
80,1792,2000,1541,999
100,2217,2000,1643,0
120,2640,2333,2046,0
140,3069,2573,2331,0
160,3494,2747,2553,0
180,3934,2889,2719,0
200,4353,2998,2856,0
220,4782,3271,3144,0
240,5211,3498,3386,0
260,5635,3693,3591,0
280,6062,3853,3765,0
300,6488,3999,3920,0
320,6900,4250,4185,0
340,7336,4472,4409,0
360,7758,4663,4609,0
380,8189,4839,4794,0
400,8603,5001,4953,0
420,9046,5236,5198,0
440,9460,5457,5423,0
460,9885,5652,5619,0
480,10316,5831,5809,0
500,10742,6007,5979,0
