Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,303,2000,304,1000
40,554,2000,554,1000
60,804,2000,804,1000
80,1054,2000,1069,1000
100,1301,2000,1260,1000
120,1552,2333,1726,1000
140,1804,2569,2059,1000
160,2049,2749,2305,1000
180,2301,2887,2500,1000
200,2557,3000,2653,1000
220,2804,3275,2960,1000
240,3047,3501,3215,1000
260,3307,3689,3433,998
280,3553,3856,3619,983
300,3804,4000,3787,926
320,4058,4249,4049,905
340,4305,4469,4285,848
360,4553,4668,4483,744
380,4800,4842,4680,583
400,5051,5001,4842,382
420,5303,5235,5089,355
440,5553,5459,5313,313
460,5800,5649,5523,243
480,6059,5834,5713,161
500,6286,6004,5877,121
