Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,383,2000,383,1000
40,727,2000,726,1000
60,1067,2000,1068,1000
80,1411,2000,1308,1000
100,1757,2000,1453,1000
120,2098,2332,1876,999
140,2440,2573,2183,935
160,2785,2748,2411,353
180,3125,2889,2593,25
200,3470,3000,2732,0
220,3814,3272,3037,0
240,4158,3499,3286,0
260,4489,3689,3495,0
280,4839,3855,3672,0
300,5191,4002,3832,0
320,5537,4248,4094,0
340,5874,4466,4325,0
360,6226,4664,4532,0
380,6555,4844,4707,0
400,6883,5001,4880,0
420,7250,5237,5130,0
440,7584,5460,5344,0
460,7937,5658,5548,0
480,8266,5834,5731,0
500,8619,6002,5907,0
