Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,303,2000,304,1000
40,553,2000,553,1000
60,803,2000,803,1000
80,1051,2000,1052,1000
100,1304,2000,1303,1000
120,1552,2333,1645,1000
140,1800,2571,1989,1000
160,2053,2749,2245,1000
180,2301,2888,2444,1000
200,2554,3000,2602,1000
220,2807,3275,2917,1000
240,3056,3495,3175,1000
260,3307,3691,3398,999
280,3552,3856,3583,992
300,3802,3996,3752,910
320,4054,4249,4015,902
340,4305,4463,4251,839
360,4546,4664,4461,763
380,4793,4844,4649,603
400,5048,5001,4821,396
420,5307,5236,5076,374
440,5548,5453,5292,324
460,5800,5658,5501,253
480,6051,5824,5695,145
500,6300,5997,5862,93
