Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,384,2000,383,1000
40,728,2000,726,1000
60,1069,2000,1158,1000
80,1413,2000,1376,1000
100,1755,2000,1506,1000
120,2099,2333,1923,999
140,2438,2569,2223,919
160,2787,2751,2451,361
180,3121,2891,2624,22
200,3471,2998,2763,0
220,3814,3273,3063,0
240,4154,3503,3305,0
260,4495,3690,3517,0
280,4844,3858,3699,0
300,5174,4003,3851,0
320,5524,4247,4106,0
340,5864,4470,4340,0
360,6219,4663,4550,0
380,6567,4851,4729,0
400,6898,5000,4888,0
420,7236,5236,5132,0
440,7591,5448,5364,0
460,7928,5647,5564,0
480,8262,5828,5758,0
500,8611,6002,5921,0
