Max_Bandwidth,Transponders,Bandwidth,Hops,Drop,Drop% 
100,80000,4016120,40000,-1,-1
120,90856,4816028,40000,-1,-1
140,100484,5638320,40000,-1,-1
160,108392,6424548,40000,-1,-1
180,114548,7217288,40000,-1,-1
200,119540,7993444,40000,-1,-1
