Max_Bandwidth,SPF,LUF,MUF 
20,383,493,513
40,726,942,978
60,1068,1388,1442
80,1413,1839,1913
100,1753,2287,2377
120,2095,2737,2848
140,2440,3186,3312
160,2782,3632,3775
180,3120,4085,4237
200,3468,4535,4705
220,3815,4986,5178
240,4151,5428,5646
260,4502,5889,6114
280,4837,6329,6577
300,5188,6773,7058
320,5527,7221,7505
340,5869,7685,7969
360,6201,8125,8445
380,6561,8584,8920
400,6900,9018,9374
420,7238,9465,9850
440,7582,9918,10305
460,7927,10376,10779
480,8281,10813,11239
500,8621,11272,11694
