Max_Bandwidth,SPF,LUF,MUF 
20,303,359,370
40,553,664,681
60,803,968,995
80,1053,1270,1307
100,1303,1574,1619
120,1554,1878,1932
140,1804,2182,2244
160,2054,2483,2556
180,2301,2789,2871
200,2555,3094,3181
220,2805,3395,3500
240,3058,3702,3810
260,3302,4001,4120
280,3555,4310,4440
300,3805,4608,4747
320,4053,4908,5058
340,4297,5217,5367
360,4554,5527,5688
380,4803,5829,6000
400,5049,6128,6312
420,5302,6438,6628
440,5550,6739,6940
460,5812,7030,7244
480,6060,7344,7554
500,6295,7632,7878
