Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,383,2000,383,1000
40,726,2000,726,1000
60,1068,2000,1067,1000
80,1410,2000,1339,1000
100,1756,2000,1478,1000
120,2096,2333,1902,998
140,2445,2573,2206,918
160,2786,2749,2434,360
180,3130,2888,2607,16
200,3465,2998,2748,0
220,3816,3275,3048,0
240,4151,3500,3296,0
260,4503,3691,3505,0
280,4844,3854,3686,0
300,5176,3998,3840,0
320,5526,4248,4100,0
340,5878,4477,4336,0
360,6210,4666,4541,0
380,6551,4843,4721,0
400,6894,5001,4888,0
420,7239,5248,5133,0
440,7580,5454,5358,0
460,7923,5650,5555,0
480,8261,5834,5744,0
500,8608,6000,5911,0
