Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,304,2000,304,1000
40,553,2000,553,1000
60,804,2000,803,1000
80,1053,2000,1054,1000
100,1306,2000,1266,1000
120,1555,2334,1726,1000
140,1801,2568,2056,1000
160,2053,2746,2309,1000
180,2307,2890,2499,1000
200,2554,2999,2653,1000
220,2798,3273,2960,1000
240,3055,3500,3213,1000
260,3303,3690,3433,1000
280,3557,3855,3621,988
300,3795,3997,3774,939
320,4054,4249,4048,899
340,4308,4469,4279,832
360,4558,4668,4493,739
380,4800,4840,4677,583
400,5057,4994,4849,370
420,5302,5236,5096,376
440,5557,5458,5318,323
460,5812,5657,5518,235
480,6049,5833,5709,176
500,6305,6006,5882,108
