Max_Bandwidth,SPF,LUF,MUF 
20,383,494,513
40,726,941,978
60,1068,1392,1446
80,1412,1842,1913
100,1756,2289,2379
120,2099,2738,2846
140,2442,3187,3313
160,2779,3634,3781
180,3125,4084,4243
200,3470,4536,4716
220,3817,4986,5168
240,4151,5417,5645
260,4503,5879,6118
280,4834,6332,6575
300,5188,6783,7040
320,5521,7230,7503
340,5869,7688,7971
360,6208,8122,8439
380,6564,8575,8922
400,6898,9022,9388
420,7238,9469,9828
440,7595,9927,10289
460,7920,10350,10774
480,8282,10807,11238
500,8609,11262,11688
