Max_Bandwidth,SPF,LUF,MUF 
20,303,359,369
40,553,664,681
60,803,967,994
80,1053,1271,1307
100,1304,1576,1622
120,1555,1877,1934
140,1806,2181,2246
160,2054,2486,2556
180,2301,2787,2870
200,2557,3096,3188
220,2809,3394,3497
240,3050,3697,3804
260,3304,4002,4120
280,3548,4303,4433
300,3801,4609,4740
320,4052,4921,5066
340,4305,5212,5372
360,4550,5521,5680
380,4809,5825,5999
400,5051,6131,6308
420,5303,6434,6625
440,5558,6734,6941
460,5798,7038,7253
480,6047,7353,7557
500,6298,7651,7874
