Max_Bandwidth,MUX 
20,315
40,551
60,827
80,1140
100,1377
120,1869
140,2212
160,2466
180,2665
200,2812
220,3117
240,3366
260,3579
280,3755
300,3913
320,4169
340,4397
360,4612
380,4778
400,4947
420,5193
440,5417
460,5613
480,5806
500,5973
