Max_Bandwidth,ODU,OPT,Hybrid,# ODU better than OPT 
20,674,2000,676,1000
40,1304,2000,1304,1000
60,1933,2000,1933,842
80,2565,2000,2561,0
100,3183,2000,2788,0
120,3817,2334,2998,0
140,4452,2572,3138,0
160,5075,2751,3247,0
180,5701,2889,3332,0
200,6329,3000,3401,0
220,6963,3276,3641,0
240,7592,3497,3838,0
260,8203,3691,4008,0
280,8857,3856,4147,0
300,9473,4001,4276,0
320,10105,4250,4507,0
340,10729,4474,4708,0
360,11362,4666,4896,0
380,11983,4843,5060,0
400,12617,5000,5205,0
420,13222,5237,5438,0
440,13860,5451,5648,0
460,14520,5653,5840,0
480,15119,5832,6006,0
500,15796,5996,6178,0
