Max_Bandwidth,MUX 
20,314
40,551
60,828
80,1139
100,1377
120,1873
140,2214
160,2469
180,2658
200,2816
220,3119
240,3367
260,3577
280,3755
300,3915
320,4170
340,4394
360,4605
380,4779
400,4947
420,5191
440,5413
460,5614
480,5794
500,5977
