Max_Bandwidth,MUX 
20,229
40,420
60,621
80,821
100,1021
120,1221
140,1419
160,1621
180,1821
200,2019
220,2222
240,2422
260,2621
280,2823
300,3023
320,3219
340,3417
360,3616
380,3828
400,4018
420,4217
440,4419
460,4620
480,4813
500,5029
