Max_Bandwidth,MUX 
20,229
40,420
60,621
80,820
100,1020
120,1222
140,1419
160,1619
180,1820
200,2022
220,2221
240,2419
260,2617
280,2820
300,3021
320,3219
340,3417
360,3623
380,3822
400,4021
420,4218
440,4419
460,4620
480,4815
500,5020
