Max_Bandwidth,MUX 
20,228
40,420
60,620
80,819
100,1020
120,1221
140,1421
160,1619
180,1820
200,2020
220,2223
240,2419
260,2618
280,2823
300,3019
320,3219
340,3419
360,3619
380,3821
400,4023
420,4224
440,4414
460,4628
480,4816
500,5025
